Datetime,Event,Actual,Forecast,Deviation
2022-04-01 12:30:00,NFP,431000.0,490000.0,-59000.0
2022-04-01 12:30:00,Earnings,0.4,0.4,0.0
2022-04-01 14:00:00,ISM,57.1,59.0,-1.8999999999999986
2022-04-07 12:30:00,Jobless,166000.0,200000.0,-34000.0
2022-04-12 12:30:00,CPI,1.2,1.2,0.0
2022-04-12 12:30:00,CPI,8.5,8.4,0.09999999999999964
2022-04-12 12:30:00,CPI,0.3,0.5,-0.2
2022-04-13 12:30:00,PPI,1.4,1.1,0.2999999999999998
2022-04-14 12:30:00,Jobless,185000.0,171000.0,14000.0
2022-04-14 12:30:00,Retail,0.5,0.6,-0.09999999999999998
2022-04-14 12:30:00,Retail,1.1,1.0,0.10000000000000009
2022-04-21 12:30:00,Jobless,184000.0,180000.0,4000.0
2022-04-28 12:30:00,GDP,-1.4,1.1,-2.5
2022-04-28 12:30:00,Jobless,180000.0,180000.0,0.0
2022-05-02 14:00:00,ISM,55.4,57.6,-2.200000000000003
2022-05-04 12:15:00,ADP,247000.0,395000.0,-148000.0
2022-05-04 18:00:00,FedRate,1.0,1.0,0.0
2022-05-05 12:30:00,Jobless,200000.0,182000.0,18000.0
2022-05-06 12:30:00,Earnings,0.3,0.4,-0.10000000000000003
2022-05-06 12:30:00,NFP,428000.0,391000.0,37000.0
2022-05-11 12:30:00,CPI,0.3,0.2,0.09999999999999998
2022-05-11 12:30:00,CPI,0.6,0.4,0.19999999999999996
2022-05-11 12:30:00,CPI,8.3,8.1,0.20000000000000107
2022-05-12 12:30:00,Jobless,203000.0,195000.0,8000.0
2022-05-12 12:30:00,PPI,0.5,0.5,0.0
2022-05-17 12:30:00,Retail,0.6,0.4,0.19999999999999996
2022-05-17 12:30:00,Retail,0.9,0.9,0.0
2022-05-19 12:30:00,Jobless,218000.0,200000.0,18000.0
2022-05-26 12:30:00,GDP,-1.5,-1.3,-0.19999999999999996
2022-05-26 12:30:00,Jobless,210000.0,215000.0,-5000.0
2022-06-01 14:00:00,ISM,56.1,54.5,1.6000000000000014
2022-06-02 12:15:00,ADP,128000.0,300000.0,-172000.0
2022-06-02 12:30:00,Jobless,200000.0,210000.0,-10000.0
